Names,Rating_(Max=5),Reviews,Cost_(Max=4),Type_cuisine,Address,Area,Phone_Number,Link
Le Comptoir de la Gastronomie,4.5,935,2.0,[['French']],34 rue Montmartre,Châtelet/Les Halles,01 42 33 31 32,https://www.yelp.com/biz/le-comptoir-de-la-gastronomie-paris?osq=Restaurants
Angelina,4.0,1226,3.0,"[['Breakfast & Brunch'], ['Tea Rooms'], ['Patisserie/Cake Shop']]",226 rue de Rivoli,Place Vendôme,01 42 60 82 00,https://www.yelp.com/biz/angelina-paris?osq=Restaurants
La Coïncidence,4.5,447,2.0,[['French']],15 rue Mesnil,Trocadéro/Iéna,01 47 55 96 44,https://www.yelp.com/biz/la-co%C3%AFncidence-paris-4?osq=Restaurants
Bistro des Augustins,4.5,356,2.0,"[['Bistros'], ['Wine Bars']]",39 quai des Grands Augustins,Saint-Michel/Odéon,01 43 54 04 41,https://www.yelp.com/biz/bistro-des-augustins-paris?osq=Restaurants
Le Potager du Père Thierry,4.5,404,2.0,[['French']],16 rue des Trois Frères,Montmartre,01 53 28 26 20,https://www.yelp.com/biz/le-potager-du-p%C3%A8re-thierry-paris-2?osq=Restaurants
Baguett’s Café,4.5,172,2.0,"[['Cafes'], ['Breakfast & Brunch']]",33 rue de Richelieu,Palais Royal/Musée du Louvre,09 54 83 04 86,https://www.yelp.com/biz/baguetts-caf%C3%A9-paris?osq=Restaurants
Les Antiquaires,4.5,281,2.0,[['French']],13 rue du Bac,Musée d'Orsay,01 42 61 08 36,https://www.yelp.com/biz/les-antiquaires-paris?osq=Restaurants
L’Avant Comptoir,4.5,591,2.0,"[['Tapas Bars'], ['Wine Bars']]",Located in Hotel Relais Saint Germain,Saint-Michel/Odéon,01 42 38 47 55,https://www.yelp.com/biz/l-avant-comptoir-paris-3?osq=Restaurants
Le Temps des Cerises,4.5,314,2.0,[['Bistros']],31 rue de la Cerisaie,Bastille,01 42 72 08 63,https://www.yelp.com/biz/le-temps-des-cerises-paris-5?osq=Restaurants
L’As du Fallafel,4.5,1709,1.0,"[['Kosher'], ['Sandwiches'], ['Falafel']]",34 rue des Rosiers,Marais,01 48 87 63 60,https://www.yelp.com/biz/l-as-du-fallafel-paris?osq=Restaurants
Le Bistro du Périgord,4.5,336,3.0,[['Bistros']],71 rue Saint-Jacques,Saint-Michel/Odéon,01 43 29 67 49,https://www.yelp.com/biz/le-bistro-du-p%C3%A9rigord-paris-3?osq=Restaurants
Chez Janou,4.0,498,2.0,"[['Bistros'], ['Provencal']]",2 rue Roger Verlomme,Bastille,01 42 72 28 41,https://www.yelp.com/biz/chez-janou-paris?osq=Restaurants
